,time,value,bound,no_items,no_pos,no_prop
232,0.008249980137406965,21.441758597121183,1.5,68.0,63.0,5.0
233,0.0021211302209849237,7.994850085698297,1.5,25.0,21.0,15.0
234,0.005164457916180254,12.867571318490409,1.5,47.0,36.0,19.0
235,0.005065243762146565,19.819578085227548,1.5,61.0,50.0,9.0
236,0.007606038454468944,22.001014787522696,1.5,77.0,58.0,13.0
237,0.00865786055510398,33.977265236255214,1.5,116.0,90.0,6.0
238,0.004482503147301031,16.89997091174273,1.5,52.0,41.0,19.0
239,0.003680427023937227,10.80131276622736,1.5,41.0,34.0,10.0
240,0.0015566358870273689,5.710881544061964,1.5,22.0,18.0,11.0
241,0.006621499516768381,27.50042928743909,1.5,98.0,75.0,8.0
242,0.0032128660604939796,12.248866743081216,1.5,42.0,35.0,17.0
243,0.008681048537255265,22.51564181747115,1.5,88.0,74.0,8.0
244,0.004263927899955888,15.16827983712112,1.5,50.0,45.0,14.0
245,0.0028688476286333753,10.057820770745773,1.5,32.0,23.0,3.0
246,0.0015387697367259534,3.8514511500048125,1.5,20.0,14.0,6.0
247,0.00530662685923744,23.027262311438825,1.5,87.0,58.0,15.0
248,0.006665974829957122,22.624789792338078,1.5,86.0,63.0,14.0
249,0.02114972100389423,31.727472449891074,1.5,102.0,94.0,19.0
250,0.0035774115603999235,11.265149178200703,1.5,43.0,39.0,15.0
251,0.003349333042933722,9.367659092517304,1.5,39.0,27.0,16.0
252,0.008994656500362908,24.818874939688598,1.5,82.0,71.0,15.0
253,0.008640754665975692,28.631606968717847,1.5,92.0,84.0,19.0
254,0.0054111628469399875,20.19324683628819,1.5,62.0,54.0,19.0
255,0.006883029551318032,28.880159757078637,1.5,85.0,81.0,9.0
256,0.0024385394899582025,8.774474457068528,1.5,30.0,29.0,18.0
257,0.002141657287211274,8.98096253131456,1.5,32.0,30.0,2.0
258,0.0004892284214292886,2.378049183341395,1.5,7.0,6.0,19.0
259,0.004490105762670282,14.392787038660444,1.5,54.0,48.0,18.0
260,0.0034341022237640573,21.396091999260484,1.5,69.0,49.0,2.0
261,0.003917248552170349,17.980596529469327,1.5,63.0,50.0,17.0
262,0.00694118957289902,24.1258356482883,1.5,69.0,62.0,10.0
263,0.006385058120940812,24.96998573718645,1.5,78.0,71.0,9.0
264,0.0006454622071032645,3.6313260351718717,1.5,12.0,8.0,2.0
265,0.007771395381496404,26.844258938868094,1.5,82.0,75.0,4.0
266,0.008722482802113518,24.53240265142863,1.5,83.0,66.0,18.0
267,0.006540151511217118,27.29675443185841,1.5,102.0,74.0,15.0
268,0.008503147291776258,35.649189989320924,1.5,116.0,91.0,4.0
269,0.005639241364406189,35.782032751561005,1.5,121.0,85.0,2.0
270,0.007484396579457098,27.197497697141017,1.5,107.0,74.0,4.0
271,0.0019481706785882125,6.6760237735991845,1.5,31.0,24.0,18.0
272,0.0005029131334595149,1.7158155362874594,1.5,8.0,6.0,7.0
273,0.005015826747694518,22.942952140222506,1.5,77.0,58.0,4.0
274,0.005188406161323655,16.52324991776231,1.5,78.0,52.0,17.0
275,0.0005523301460925722,1.4337804997243162,1.5,6.0,5.0,11.0
276,0.002788259886074229,13.151371163840617,1.5,42.0,33.0,9.0
277,0.007028239540886716,34.703133008217456,1.5,126.0,93.0,4.0
278,0.002685624553123489,10.582955697597273,1.5,44.0,31.0,4.0
279,0.004911670892397524,29.152476536884166,1.5,97.0,75.0,2.0
280,0.01153811211042921,25.530476699983637,1.5,84.0,73.0,13.0
281,0.011034058583391015,29.768668750502624,1.5,104.0,81.0,17.0
282,0.0016204978728637798,8.262216159070862,1.5,30.0,21.0,6.0
283,0.007156723773732665,28.62627877392356,1.5,93.0,72.0,18.0
284,0.000453115990239894,1.8968049378462115,1.5,7.0,5.0,9.0
285,0.006387338904460194,25.023175292556797,1.5,87.0,66.0,6.0
286,0.017506546802906087,38.278463153066404,1.5,128.0,87.0,12.0
287,0.015158478458033642,29.237491790609596,1.5,101.0,73.0,15.0
288,0.005841090853209607,18.840082344050398,1.5,65.0,57.0,6.0
289,0.0027555686319828965,11.021395947381627,1.5,35.0,30.0,18.0
290,0.011726276889021392,25.29667131680744,1.5,106.0,72.0,13.0
291,0.0035998392795590917,14.09324262499735,1.5,59.0,39.0,10.0
292,0.007448284146448714,28.05702225440763,1.5,103.0,70.0,4.0
293,0.00825606223224895,27.86953295722892,1.5,90.0,73.0,8.0
294,0.005644183067488484,21.054884281474276,1.5,66.0,61.0,8.0
295,0.003627208701800555,19.639086172078784,1.5,63.0,54.0,2.0
296,0.010652787326762336,21.536120581364393,1.5,73.0,58.0,14.0
297,0.012150502932854579,37.29642088633366,1.5,144.0,99.0,11.0
298,0.0007055228834360605,2.2812586126807597,1.5,8.0,7.0,8.0
299,0.00912884269564529,20.652462726447883,1.5,80.0,54.0,15.0
300,0.009172557744022924,20.217577261610515,1.5,87.0,61.0,12.0
301,0.002657875000295462,8.544062914106929,1.5,29.0,20.0,19.0
