,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
29,0.008731848723439878,1.1617829744696317,1.5444338873976182,19.0,16.0,2.0
30,0.01050074718635493,1.1600356527037436,2.050525869794137,15.0,12.0,4.0
31,1.0,1.1881800289871396,2.3377184478261372,16.0,14.0,4.0
32,0.0,1.1868650507615635,1.252454432905884,13.0,12.0,2.0
33,0.004267854357238095,1.1833943077240368,1.8021638910561566,20.0,14.0,4.0
34,0.0015555071257720198,1.163958867604044,1.6666492220897393,21.0,18.0,3.0
35,0.0016543382756716999,1.1884638259624867,1.4266210527676089,20.0,18.0,3.0
36,0.0175783409875065,1.1684492969171072,1.480251006841608,18.0,13.0,3.0
37,0.0,1.1779109409857835,2.674413891566535,25.0,19.0,4.0
38,0.0,1.1775766649809847,1.373184640289147,19.0,13.0,2.0
39,0.04650327251335065,1.1822823007330976,1.7687301227336394,19.0,16.0,2.0
40,0.011652416207295775,1.1985522696080724,2.128469654963977,17.0,12.0,3.0
41,0.08973659265125233,1.1779398209702985,1.4263106534721446,15.0,11.0,2.0
42,0.0019161582335803918,1.1588275177798826,1.2193327396371614,12.0,11.0,2.0
43,0.01161573306339436,1.1794462178332294,1.3076933903221657,22.0,17.0,2.0
44,0.0044742985997202256,1.193444702379988,1.673318028868559,21.0,17.0,4.0
45,0.009771346744155255,1.1789595949669989,1.7105307165042627,16.0,14.0,3.0
46,0.016634178668788982,1.1607366782619533,1.6705866052851437,23.0,16.0,2.0
47,0.00010945740384256755,1.171933041234783,1.185374660173413,24.0,16.0,2.0
48,0.0037760805851518075,1.195441426566415,1.5940696496694293,29.0,19.0,4.0
49,0.03140562807010369,1.1867471460050578,2.3545817860044798,18.0,12.0,4.0
50,1.0,1.1985104920153622,,11.0,10.0,4.0
51,0.0018493205273043332,1.1881252731151786,1.9925526434016227,27.0,18.0,4.0
52,0.006796376929990503,1.1687714104282294,1.5261058811045562,16.0,12.0,4.0
53,0.08639275447871232,1.1678544840522678,1.8488242911174817,15.0,10.0,4.0
54,0.007298929965797972,1.1936175592974547,2.1405713859551763,22.0,17.0,4.0
55,0.0,1.1954669065149055,1.223989771432041,14.0,12.0,2.0
56,0.005288213786827778,1.1673113625792304,1.788721776629341,16.0,11.0,2.0
57,0.0,1.1742860515174998,1.7158098436831004,14.0,12.0,3.0
58,0.00422060391965816,1.1525630771724675,1.3346003753507043,17.0,11.0,3.0
59,0.00028862912503025616,1.169634151032642,2.356364024764222,19.0,15.0,3.0
60,0.0,1.1994138927147324,1.5527568886672651,18.0,16.0,3.0
61,0.008195390373911699,1.165217252534622,1.70097479617887,19.0,18.0,4.0
62,0.0,1.1595765185903164,1.2095925481200998,19.0,17.0,3.0
63,0.002456212009102759,1.1835280038076452,1.3670788342833289,24.0,17.0,2.0
64,0.0022352776135506985,1.1582093367378459,1.8436847855704088,19.0,17.0,4.0
65,3.627530588916256e-16,1.1971236897649304,1.2740930639583588,17.0,14.0,2.0
66,0.08120536896873616,1.1914727742414368,2.0861492288600174,16.0,15.0,4.0
67,0.0009752133939690364,1.1830904287253976,2.0315004774099665,21.0,15.0,3.0
68,1.765892635958619e-16,1.1618728351328458,1.2214504416260406,19.0,14.0,2.0
69,0.02304428746973129,1.1597591101181635,1.54369281597244,13.0,12.0,4.0
70,1.2048675541704574e-16,1.1690432571653842,1.3837826290765973,12.0,11.0,3.0
71,0.0005011941536445608,1.1901488853473048,1.5087685513305533,17.0,12.0,3.0
72,0.030592851206444522,1.175545598101731,1.9050880938484434,15.0,10.0,3.0
73,0.006228502783709456,1.1945767585949971,1.3666003782183307,16.0,11.0,3.0
74,0.03641844374977167,1.1773025702881592,2.531965683496853,24.0,18.0,3.0
75,0.014710924815181936,1.1563482729494392,1.9354975891437827,14.0,11.0,3.0
76,0.00023473491852187312,1.1973485014207113,1.6615956706109587,22.0,18.0,4.0
77,0.01180027000341941,1.1911294403958501,1.8960560661417432,25.0,19.0,4.0
78,0.02419977195123016,1.1633485436472828,1.6407791720254026,15.0,12.0,4.0
79,0.03257564038943774,1.1697828641742882,1.8264031001664414,23.0,18.0,3.0
80,0.0006368186841197197,1.1858707699051458,2.112611108429934,22.0,18.0,4.0
81,0.0037527843734116535,1.190761806453188,1.3765590065881297,26.0,17.0,3.0
82,0.0008289228924935068,1.1772733303941298,1.2556149786177593,19.0,13.0,2.0
83,0.06579233158571852,1.1807438673377155,2.0459316708466053,12.0,11.0,4.0
84,0.0007444904925563093,1.176462809626376,1.4570391678073136,16.0,15.0,3.0
85,-1.1810501315598697e-16,1.1598596638914007,1.1804011651260051,14.0,11.0,2.0
86,0.00928604330914461,1.1809842629755045,2.8136556530167236,19.0,13.0,4.0
87,0.001759592676493574,1.164028173602928,1.4971063812263896,24.0,18.0,3.0
88,2.0448810194195974e-16,1.1843215367110194,1.5363860234021534,19.0,13.0,2.0
89,0.00651799946010419,1.17021321193723,1.558607096967368,19.0,14.0,3.0
90,0.0005006227463893822,1.167144909570134,1.5401097040007299,16.0,15.0,3.0
91,0.0,1.1624727257353489,1.6039582211127434,19.0,14.0,2.0
92,0.042836350308795984,1.176192036624967,2.5621601470215856,13.0,11.0,4.0
93,0.02280728887054882,1.1619226046736209,1.5385982218736307,19.0,13.0,4.0
94,0.0,1.188196363414167,1.488312158824639,26.0,19.0,4.0
95,0.023268872465304492,1.170290321453855,1.9361975015586879,19.0,16.0,4.0
96,1.0,1.1603874061948154,2.363053027027235,19.0,17.0,3.0
97,1.0,1.1707059151678028,2.4103374656119416,16.0,13.0,4.0
