,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
162,2.1185429832881954e-16,1.1958479773176818,1.1349979905800134,19.0,17.0,4.0
163,0.026844210951627513,1.1962078416488664,1.0311949962198899,17.0,14.0,3.0
164,0.016640241562444053,1.1296037456361616,1.2902467989310338,17.0,12.0,3.0
165,0.004217874448135519,1.1779307276922588,0.8612448202941406,19.0,15.0,2.0
166,0.005979166176641458,1.1318940573284615,1.1895596574124578,21.0,14.0,4.0
167,0.00828457523017853,1.189026868403428,1.0078003519897178,16.0,15.0,3.0
168,-1.688823607798539e-16,1.1365943897994228,0.9950056267335244,20.0,17.0,2.0
169,0.014297277392499346,1.1022748942158915,1.1476566491043445,22.0,17.0,3.0
170,0.003076045546711477,1.1990311932508626,0.9537680870119362,22.0,16.0,3.0
171,0.0,1.1301566832094805,0.9239982122617347,24.0,16.0,3.0
172,0.0026353565051268303,1.1841312010234615,1.247696435239961,18.0,13.0,3.0
173,0.012283598319091999,1.1757676756645505,1.0038949375284687,24.0,16.0,4.0
174,0.0073318768702864,1.1148041599741094,0.9620780621409935,14.0,11.0,4.0
175,0.008506178342058163,1.1015624642742499,1.1492035966876297,20.0,18.0,3.0
176,0.0,1.192710088911086,0.9900912587022073,17.0,12.0,2.0
177,0.004567053420269941,1.1101982328831892,1.2709784642250876,14.0,13.0,3.0
178,0.04084973076151572,1.1924838112766625,1.2151393065824427,14.0,10.0,2.0
179,0.017682893294527015,1.1227909836986782,1.0047577895642352,22.0,17.0,2.0
180,0.0023089359993755483,1.189598060451903,1.2496996090870542,28.0,19.0,3.0
181,1.868768920978154e-16,1.1323697587468484,1.1694638655310565,17.0,15.0,2.0
182,-2.0078953577552187e-16,1.1312402688757597,1.1415439883437146,17.0,11.0,2.0
183,0.023228675802463815,1.10239686108621,1.1982772336475,17.0,11.0,4.0
184,0.0024042975661606224,1.147000999069852,0.9418002319140699,18.0,16.0,4.0
185,0.021858414316815976,1.1595841390814534,1.2919997690700287,21.0,16.0,4.0
186,0.006775578312068662,1.1661839476455467,1.367933407311729,17.0,16.0,4.0
187,0.05693941234343377,1.1693472672337204,1.6630974658578876,19.0,15.0,4.0
188,0.001259643039977299,1.1827556792452574,1.1510345818803007,23.0,16.0,4.0
189,2.915980885425496e-16,1.178160687427579,1.0580457938135333,19.0,18.0,3.0
190,1.3931185228685782e-16,1.1753303923906588,0.9227654943726792,24.0,16.0,4.0
191,0.005911196041929693,1.1174175819046073,2.25032544762754,17.0,12.0,4.0
192,-1.5780464659456892e-16,1.1910656664319466,1.0280585534636726,19.0,15.0,2.0
193,0.014210821366981534,1.1270223699274802,1.0562851329142493,19.0,15.0,2.0
194,0.0160922770718776,1.1316726282871719,1.4397796635910705,20.0,14.0,3.0
195,0.002688588923562585,1.1495974972400902,1.147910832493035,20.0,16.0,3.0
196,0.0025631446827827924,1.1083961221983614,1.002318725265929,19.0,14.0,3.0
197,0.0,1.113169282626354,1.0892287419212354,23.0,19.0,2.0
198,-1.5169433382072019e-16,1.1384680004454775,0.9834477760819471,19.0,18.0,3.0
199,1.1413185458752244e-16,1.1953573736817908,0.9325002335200093,14.0,11.0,2.0
200,0.014712571617481636,1.185839292209974,1.1074603299253432,20.0,18.0,3.0
201,0.00016402582420806472,1.1897645649694166,1.0740978286081195,16.0,14.0,3.0
202,0.005599122372533527,1.1182387489338743,1.2170332130646355,23.0,19.0,4.0
203,1.6965797879653493e-16,1.131463085739481,1.0049285855013823,18.0,13.0,2.0
204,0.0,1.1936116177441167,1.5785553407808837,21.0,14.0,4.0
205,0.005243533458202241,1.1350656000162265,1.0103663955880995,19.0,17.0,3.0
